question_id,question,options,answer,answer_index,cot_content,category,src
6376,"A previously healthy 27-year-old nulligravid woman comes to the emergency department because of a 2-day history of moderate-to-severe pain and swelling of the left labia. She is sexually active and uses condoms inconsistently. Her temperature is 37.2°C (99°F), pulse is 92/min, respirations are 18/min, and blood pressure is 115/75 mm Hg. Pelvic examination shows a 4 x 3-cm, tender, fluctuant mass medial to the left labium majus compromising the introital opening. Which of the following is the most appropriate next step in management? ","['Administration of intravenous ceftriaxone'
 'Observation and re-evaluation in 24 hours'
 'Initiation of antiviral therapy'
 'Ultrasound-guided needle aspiration of the mass' 'Incision and drainage'
 'Administration of oral antibiotics'
 'Administration of intravenous vancomycin'
 'Administration of intravenous penicillin G'
 'Surgical excision of the mass'
 'Administration of intravenous metronidazole']",E,4,,health,ori_mmlu-professional_medicine
6377,"A 40-year-old man with paranoid schizophrenia is transferred to the emergency department from the residential facility where he lives 2 hours after having swallowed a nail. The patient says he does not have any symptoms. Medical history is otherwise unremarkable. His only current medication is haloperidol. The patient is not in acute distress. Vital signs are normal. Physical examination shows no abnormalities. Mental status examination discloses a flat affect, distractibility, and derailment of thoughts. X-ray of the abdomen is obtained and shows a 4-cm nail in the left upper quadrant. No free air is visible. After admitting the patient to the hospital, which of the following is the most appropriate management?","['Open laparotomy and removal of the nail through a gastrotomy incision'
 'Insertion of a nasogastric tube to suction out the nail'
 'Administration of activated charcoal to bind the nail and facilitate its removal'
 'Removal of the nail through endoscopic esophagogastroscopy'
 ""Administration of a barium swallow to track the nail's passage""
 'Administration of ipecac to induce vomiting and expectoration of the nail'
 'Administering a laxative to expedite the passage of the nail'
 'Observation to allow passage of the nail via normal peristalsis'
 'Use of a magnet to draw out the nail']",D,3,,health,ori_mmlu-professional_medicine
6378,"A 40-year-old man with paranoid schizophrenia is transferred to the emergency department from the residential facility where he lives 2 hours after having swallowed a nail. The patient says he does not have any symptoms. Medical history is otherwise unremarkable. His only current medication is haloperidol. The patient is not in acute distress. Vital signs are normal. Physical examination shows no abnormalities. Mental status examination discloses a flat affect, distractibility, and derailment of thoughts. X-ray of the abdomen is obtained and shows a 4-cm nail in the left upper quadrant. No free air is visible. After admitting the patient to the hospital, which of the following is the most appropriate management?","['Open laparotomy and removal of the nail through a gastrotomy incision'
 'Insertion of a nasogastric tube to suction out the nail'
 'Administration of activated charcoal to bind the nail and facilitate its removal'
 'Removal of the nail through endoscopic esophagogastroscopy'
 ""Administration of a barium swallow to track the nail's passage""
 'Administration of ipecac to induce vomiting and expectoration of the nail'
 'Administering a laxative to expedite the passage of the nail'
 'Immediate surgery to remove the nail from the abdomen'
 'Observation to allow passage of the nail via normal peristalsis'
 'Use of a magnet to draw out the nail']",D,3,,health,ori_mmlu-professional_medicine
6379,"A 52-year-old man is brought to the emergency department 30 minutes after he had an episode of chest pain radiating to his jaw while shoveling snow. His pulse is 80/min, and blood pressure is 130/70 mm Hg. The lungs are clear to auscultation. Cardiac examination shows an S4. While undergoing an ECG, the patient says that he feels the chest pain returning. The most appropriate immediate treatment is a drug with which of the following mechanisms of action?","['Increases cAMP concentration' 'Increases nitric oxide concentration'
 'Inhibits potassium flux' 'Inhibits sodium flux']",B,1,,health,ori_mmlu-professional_medicine
6433,"A 55-year-old male presents to the emergency department with a 2-day history of severe epigastric pain and vomiting. Past medical history is negative for any similar episodes. He does not take any medications. He smokes cigarettes, has a 40 pack-year history, and consumes more than 8 cans of beer per day. Abdominal examination reveals epigastric tenderness. Laboratory studies reveal a serum amylase level of 467 U/L (reference range: 28-100 U/L) and a γ-glutamyltransferase level of 212 U/L (reference range: < 55 U/L). Referred pain in this patient is transmitted to the spinal cord by which of the following nerves?","['anterior rami of C1-C5' 'anterior rami of T11-T12'
 'anterior rami of L1-L5' 'posterior rami of T6-T10'
 'posterior rami of L1-L5' 'posterior rami of T11-T12'
 'anterior rami of T6-T10' 'anterior rami of T1-T5'
 'anterior rami of C6-C10' 'posterior rami of T1-T5']",G,6,,health,ori_mmlu-professional_medicine
6434,"A 55-year-old male presents to the emergency department with a 2-day history of severe epigastric pain and vomiting. Past medical history is negative for any similar episodes. He does not take any medications. He smokes cigarettes, has a 40 pack-year history, and consumes more than 8 cans of beer per day. Abdominal examination reveals epigastric tenderness. Laboratory studies reveal a serum amylase level of 467 U/L (reference range: 28-100 U/L) and a γ-glutamyltransferase level of 212 U/L (reference range: < 55 U/L). Referred pain in this patient is transmitted to the spinal cord by which of the following nerves? ","['posterior rami of L1-L5' 'anterior rami of T6-T10'
 'anterior rami of C6-C10' 'posterior rami of T11-T12'
 'anterior rami of L1-L5' 'anterior rami of C1-C5'
 'anterior rami of T1-T5' 'anterior rami of T11-T12'
 'posterior rami of T1-T5' 'posterior rami of T6-T10']",B,1,,health,ori_mmlu-professional_medicine
6437,"A previously healthy 17-year-old girl comes to the emergency department because of a 5-day history of progressive lower abdominal pain, fever, and malodorous vaginal discharge. Menarche was at the age of 12 years, and her last menstrual period was 2 weeks ago. She is sexually active with one male partner and uses a combination contraceptive patch. Her temperature is 37.8°C (100°F), pulse is 90/min, respirations are 22/min, and blood pressure is 110/70 mm Hg. Abdominal examination shows severe lower quadrant tenderness bilaterally. Pelvic examination shows a purulent cervical discharge, cervical motion tenderness, and bilateral adnexal tenderness. Her hemoglobin concentration is 10.5 g/dL, leukocyte count is 13,000/mm3 , and platelet count is 345,000/mm3 . A urine pregnancy test is negative. Which of the following is the most appropriate pharmacotherapy?","['Oral azithromycin' 'Vaginal clindamycin'
 'Intravenous penicillin and vancomycin'
 'Intramuscular ceftriaxone and oral doxycycline']",D,3,,health,ori_mmlu-professional_medicine
6438,A 16-year-old male is brought to the emergency department with sudden-onset swelling of the right knee. He denies any trauma. Past medical history reveals cystic fibrosis. Examination of the knee reveals fluctuance on palpation of the joint but no increased warmth; mild restriction in range of motion due to the swelling is also noted. Numerous bruises are noted in various stages of resolution. Further history reveals easy bruising and bleeding from the gums over the past month. The most likely explanation for these findings is,"['acquired factor VIII deficiency'
 'diffuse intravascular coagulation secondary to infection'
 'hypocomplementemia' 'malabsorption of vitamins A, D, E, and K']",D,3,,health,ori_mmlu-professional_medicine
6446,"A 19-year-old woman comes to the emergency department because, she says, ""I'm burning up."" Medical history is significant for intravenous drug use. Physical examination discloses a systolic heart murmur over the precordium. An expected physical finding will be which of the following?","['Decreased intensity of the murmur with deep inspiration'
 'Increased intensity of the murmur with forced expiration'
 'Increased intensity of S1'
 'Decreased intensity of the murmur with forced expiration'
 'Positive JVP (rise in jugular venous pulse) with expiration'
 'No change in the intensity of the murmur with breathing changes'
 'Positive Kussmaul sign (rise in jugular venous pulse with inspiration)'
 'Increased intensity of the murmur with deep inspiration'
 'Negative Kussmaul sign (no rise in jugular venous pulse with inspiration)'
 'Decreased intensity of S1']",H,7,,health,ori_mmlu-professional_medicine
6447,"A 19-year-old woman comes to the emergency department because, she says, ""I'm burning up."" Medical history is significant for intravenous drug use. Physical examination discloses a systolic heart murmur over the precordium. An expected physical finding will be which of the following? ","['Increased intensity of the murmur with forced expiration'
 'Decreased intensity of the murmur with forced expiration'
 'No change in the intensity of the murmur with breathing changes'
 'Negative Kussmaul sign (no rise in jugular venous pulse with inspiration)'
 'Increased intensity of the murmur with deep inspiration'
 'Decreased intensity of S1'
 'Positive Kussmaul sign (rise in jugular venous pulse with inspiration)'
 'Increased intensity of S1'
 'Positive JVP (rise in jugular venous pulse) with expiration'
 'Decreased intensity of the murmur with deep inspiration']",E,4,,health,ori_mmlu-professional_medicine
6448,"A 25-year-old man is brought to the emergency department after being discovered semiconscious and incoherent at home. On arrival, he is stuporous. His blood pressure is 105/70 mm Hg, pulse is 80/min, and respirations are 12/min. Examination shows cool, damp skin. The pupils are pinpoint and react sluggishly to light. Which of the following is the most likely substance taken?","['MDMA (Ecstasy)' 'Amphetamines' 'Benzodiazepines' 'Methamphetamine'
 'Alcohol' 'Heroin' 'Barbiturates' 'Cocaine' 'LSD']",F,5,,health,ori_mmlu-professional_medicine
6449,"A 25-year-old man is brought to the emergency department after being discovered semiconscious and incoherent at home. On arrival, he is stuporous. His blood pressure is 105/70 mm Hg, pulse is 80/min, and respirations are 12/min. Examination shows cool, damp skin. The pupils are pinpoint and react sluggishly to light. Which of the following is the most likely substance taken? ","['Methamphetamine' 'Barbiturates' 'MDMA (Ecstasy)' 'Benzodiazepines' 'LSD'
 'Cocaine' 'Heroin' 'Amphetamines' 'Alcohol']",G,6,,health,ori_mmlu-professional_medicine
6541,"A 52-year-old woman comes to the emergency department because of a 1-week history of low-grade fever and increasing abdominal cramps that are exacerbated by bowel movements. She began a course of amoxicillin-clavulanate and metronidazole 2 days ago but has had no relief of her symptoms. She has had intermittent constipation for the past 12 years. She has not had nausea, vomiting, urinary symptoms, or bloody stools. She has a 3-year history of hypertension. She underwent total abdominal hysterectomy and bilateral salpingo-oophorectomy 5 years ago because of leiomyomata uteri. She is 165 cm (5 ft 5 in) tall and weighs 86 kg (190 lb); BMI is 32 kg/m2 . Her temperature is 38.1°C (100.6°F), pulse is 75/min, and blood pressure is 150/80 mm Hg. The lungs are clear to auscultation. Cardiac examination shows no abnormalities. The abdomen is soft, and there is tenderness to palpation of the left lower quadrant with guarding but no rebound. Bowel sounds are normal. The stool is brown, and test for occult blood is negative. Her hemoglobin concentration is 14.5 g/dL, leukocyte count is 15,000/mm3 , and platelet count is 280,000/mm3 ; serum studies and urinalysis show no abnormalities. Which of the following is the most appropriate next step in diagnosis?","['Test of the stool for Clostridium difficile toxin'
 'Endoscopic retrograde cholangiopancreatography' 'Pelvic ultrasonography'
 'CT scan of the abdomen with contrast']",D,3,,health,ori_mmlu-professional_medicine
6544,"A 25-year-old man comes to the emergency department because he developed chest pain and shortness of breath 1 hour ago, shortly after snorting cocaine for the first time. He rates the chest pain as a 7 on a 10-point scale and notes that the pain is radiating down his left arm. Medical history is unremarkable and the patient takes no medications or any other illicit drugs. He is 178 cm (5 ft 10 in) tall and weighs 70 kg (154 lb); BMI is 22 kg/m2 . The patient is diaphoretic. Vital signs are temperature 37.5°C (99.5°F), pulse 110/min, respirations 16/min, and blood pressure 200/100 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 95%. Pupils are equal, round, and reactive to light and accommodation. Lungs are clear to auscultation and percussion. Auscultation of the heart discloses an audible S1 and S2. There is no edema, cyanosis, or clubbing of the digits. The patient is fully oriented. He is treated with supplemental oxygen, a 325-mg aspirin tablet, and intravenous nitroglycerin and lorazepam. Despite therapy, he continues to have chest pain and shortness of breath. ECG shows sinus tachycardia with no ST-segment or T-wave abnormalities. Which of the following is the most appropriate additional pharmacotherapy to initiate at this time?","['Nitroprusside' 'Verapamil' 'Alteplase' 'Furosemide' 'Phentolamine'
 'Atorvastatin' 'Carvedilol' 'Metoprolol' 'Lisinopril' 'Warfarin']",E,4,,health,ori_mmlu-professional_medicine
